blue_id,yellow_id,mid_x,mid_y
B_0,Y_0,0.3276518121493003,2.0
B_1,Y_1,0.43802088806480277,4.090909090909091
B_2,Y_2,0.414280461056155,6.181818181818182
B_3,Y_3,0.2113424662657838,8.272727272727273
B_4,Y_4,-0.1851092893389692,10.363636363636363
B_5,Y_5,-0.4213925514915733,12.454545454545451
B_6,Y_6,-0.47859690300318414,14.545454545454543
B_7,Y_7,-0.35242693222726396,16.636363636363637
B_8,Y_8,0.004529470316346762,18.727272727272727
B_9,Y_9,0.31297824429854226,20.818181818181817
B_10,Y_10,0.4783100146640714,22.909090909090907
B_11,Y_11,0.3963851055527544,25.0
