cone_id,x,y,colour
B_0,-1.66597939081457,2.0,blue
B_1,-1.5176037133480318,4.090909090909091,blue
B_2,-1.5264043796785018,6.181818181818182,blue
B_3,-1.7365245990929912,8.272727272727273,blue
B_4,-2.165642345698692,10.363636363636363,blue
B_5,-2.4351021587301847,12.454545454545451,blue
B_6,-2.416415980727469,14.545454545454543,blue
B_7,-2.297933471465059,16.636363636363637,blue
B_8,-2.043848608555066,18.727272727272727,blue
B_9,-1.6678133470996452,20.818181818181817,blue
B_10,-1.5349636327734382,22.909090909090907,blue
B_11,-1.5796394336311657,25.0,blue
